title,details_url
"8 тонов, красочные сенсорные часы, мелодия, колокольчик, колокольчик Carillon, класс, ручной Колокольчик, детская музыкальная игрушка, перкуссионный инструмент","https://aliexpress.ru/item/1005001688919118.html?algo_pvid=e8b38b0e-e7e3-4372-b6bb-52fbfbb3fb3a&algo_expid=e8b38b0e-e7e3-4372-b6bb-52fbfbb3fb3a-53&btsid=0b8b15d416300295793905569eafce&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Для iPad Air 2020 стекло, XUNDD Съемная бумага как защита экрана для iPad Air4 10,9 пленка полное покрытие Магнитная окраска стекло","https://aliexpress.ru/item/1005003081292758.html?s=p&ad_pvid=202108311647044895368495449120003728715_66&algo_pvid=f98c8240-9560-4a9b-899f-8de38493beed&algo_expid=f98c8240-9560-4a9b-899f-8de38493beed-4&btsid=0b8b034a16304536246728869ec2bd&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Большие размеры сексуальное женское платье Летняя женская юбка, формальные модельные туфли для деловой женщины; Грубокий треугольный вырез вечернее платье вечерние Одежда","https://aliexpress.ru/item/1005002356680192.html?algo_pvid=9c9533b1-0e9c-4224-bfba-5c9f2d9e3ee4&algo_expid=9c9533b1-0e9c-4224-bfba-5c9f2d9e3ee4-26&btsid=0b8b15ea16300702485368998e65c1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
Карбюратор для трактора Ford ЮБИЛЕЙ NAA AA EAE9510C TSX428 Carb 600 700 серия B2NN9510A,"https://aliexpress.ru/item/1005003057938109.html?algo_pvid=2d969c04-26db-4f14-8070-78b00fde7af5&algo_expid=2d969c04-26db-4f14-8070-78b00fde7af5-45&btsid=0b8b15c916300299135741754e4524&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Ожерелье с подвеской из натурального зеленого, белого, китайского халцедона, нефрита, лисы, Модная бижутерия, резной амулет, подарки для женщин и мужчин","https://aliexpress.ru/item/1005001669585302.html?algo_pvid=38c3c065-03f3-4cf3-b5b5-939b22b0d1fc&algo_expid=38c3c065-03f3-4cf3-b5b5-939b22b0d1fc-42&btsid=0b8b036d16300984975784423e8730&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Мини-пододеяльник WOSTAR с 3d рисунком животных, X см","https://aliexpress.ru/item/1005003301369146.html?algo_pvid=01b482f1-9cdc-469d-856a-9a5c509ad672&algo_expid=01b482f1-9cdc-469d-856a-9a5c509ad672-28&btsid=0b8b036a16333592136384175ec581&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Светящийся ошейник для собак USB, L–XL: 50–60 см/25 мм, красный","https://aliexpress.ru/item/1005002928023963.html?algo_pvid=ebbc918b-1298-4c70-8043-db5994532531&algo_expid=ebbc918b-1298-4c70-8043-db5994532531-5&btsid=0b8b037016262055201981036e1e8d&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Вышитый мужской халат из 100 хлопка, 2 шт., высококачественный абсорбирующий банный халат, украшение для ванной комнаты, платье для душа","https://aliexpress.ru/item/1005003358260673.html?algo_pvid=5519a56b-fcc7-4f1d-9751-68a53b131c77&algo_expid=5519a56b-fcc7-4f1d-9751-68a53b131c77-45&btsid=0b8b037016333593336437816e3837&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Триммер для волос в носу и ушах, бритва для лица и шеи и бровей, машинка для стрижки, средство для ухода за грумером, многофункциональная брит...","https://aliexpress.ru/item/1005003136391157.html?algo_pvid=320ae92f-c54c-4b1a-acc2-39564d0a28ec&algo_expid=320ae92f-c54c-4b1a-acc2-39564d0a28ec-14&btsid=0b8b15d416333592176706585ee80e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Простыня из чистого белого хлопка, одинарная, с вышивкой, утолщенная хлопчатобумажная саржа, одиночная, для сна, М1, 8, специальная кровать","https://aliexpress.ru/item/1005003336374736.html?algo_pvid=f4842e7c-b7d6-48ab-8407-063ae63cded9&algo_expid=f4842e7c-b7d6-48ab-8407-063ae63cded9-55&btsid=0b8b15f516333592133012810e03b9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
"Фен LuazON LF-18, 1600 Вт, 2 скорости, 3 температурных режима, 2 насадки, расчески, черный","https://aliexpress.ru/item/1005003349670440.html?algo_pvid=f8110150-c546-419f-8fb7-9ee4c7d96c24&algo_expid=f8110150-c546-419f-8fb7-9ee4c7d96c24-0&btsid=0b8b15ea16333592185266092ea138&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
